(['957', '596'], ['957', '182'])
H: (['280', '481'], ['827', '481'])
V: (['599', '181'], ['599', '235'])
H: (['483', '140'], ['773', '140'])
V: (['571', '227'], ['571', '779'])
V: (['830', '45'], ['830', '745'])
H: (['617', '745'], ['449', '745'])
H: (['897', '669'], ['654', '669'])
V: (['305', '330'], ['305', '598'])
H: (['220', '964'], ['600', '964'])
H: (['607', '715'], ['492', '715'])
H: (['837', '561'], ['820', '561'])
V: (['542', '38'], ['542', '118'])
H: (['343', '160'], ['475', '160'])
H: (['786', '500'], ['946', '500'])
V: (['401', '393'], ['401', '910'])
H: (['336', '962'], ['528', '962'])
V: (['520', '489'], ['520', '525'])
H: (['558', '584'], ['363', '584'])
H: (['918', '229'], ['332', '229'])
V: (['558', '989'], ['558', '370'])
V: (['307', '821'], ['307', '447'])
H: (['659', '809'], ['467', '809'])
H: (['905', '942'], ['456', '942'])
V: (['234', '810'], ['234', '497'])
H: (['183', '164'], ['312', '164'])
V: (['278', '480'], ['278', '384'])
H: (['955', '76'], ['798', '76'])
H: (['565', '352'], ['109', '352'])
V: (['146', '15'], ['146', '186'])
H: (['485', '84'], ['762', '84'])
H: (['773', '377'], ['582', '377'])
V: (['592', '291'], ['592', '861'])
H: (['331', '470'], ['16', '470'])
H: (['239', '85'], ['705', '85'])
V: (['409', '842'], ['409', '966'])
V: (['145', '438'], ['145', '340'])
V: (['239', '859'], ['239', '409'])
V: (['762', '444'], ['762', '29'])
V: (['990', '18'], ['990', '503'])
V: (['441', '472'], ['441', '211'])
H: (['469', '544'], ['989', '544'])
H: (['887', '610'], ['746', '610'])
V: (['377', '942'], ['377', '803'])
H: (['920', '401'], ['823', '401'])
V: (['10', '142'], ['10', '486'])
V: (['850', '955'], ['850', '578'])
V: (['887', '728'], ['887', '678'])
H: (['555', '749'], ['84', '749'])
H: (['839', '620'], ['32', '620'])
V: (['432', '709'], ['432', '183'])
V: (['41', '702'], ['41', '520'])
V: (['479', '526'], ['479', '123'])
V: (['364', '739'], ['364', '379'])
V: (['382', '314'], ['382', '604'])
V: (['696', '296'], ['696', '221'])
V: (['682', '435'], ['682', '937'])
V: (['626', '550'], ['626', '604'])
V: (['898', '904'], ['898', '755'])
V: (['405', '237'], ['405', '724'])
H: (['837', '802'], ['597', '802'])
H: (['375', '450'], ['316', '450'])
H: (['621', '784'], ['314', '784'])
H: (['82', '134'], ['752', '134'])
H: (['677', '299'], ['573', '299'])
V: (['43', '726'], ['43', '304'])
V: (['886', '629'], ['886', '603'])
H: (['550', '246'], ['497', '246'])
H: (['294', '493'], ['271', '493'])
V: (['495', '397'], ['495', '342'])
V: (['482', '302'], ['482', '681'])
H: (['309', '692'], ['453', '692'])
V: (['597', '369'], ['597', '589'])
H: (['518', '475'], ['633', '475'])
H: (['177', '135'], ['139', '135'])
H: (['458', '17'], ['825', '17'])
H: (['410', '734'], ['142', '734'])
H: (['835', '839'], ['189', '839'])
V: (['769', '407'], ['769', '788'])
H: (['710', '709'], ['246', '709'])
H: (['777', '552'], ['951', '552'])
H: (['23', '490'], ['346', '490'])
H: (['270', '384'], ['855', '384'])
H: (['386', '454'], ['166', '454'])
H: (['166', '388'], ['319', '388'])
V: (['698', '514'], ['698', '180'])
H: (['554', '162'], ['528', '162'])
H: (['651', '363'], ['879', '363'])
V: (['327', '123'], ['327', '255'])
V: (['903', '438'], ['903', '356'])
V: (['99', '611'], ['99', '552'])
V: (['565', '284'], ['565', '180'])
H: (['321', '769'], ['164', '769'])
V: (['32', '307'], ['32', '204'])
V: (['310', '338'], ['310', '914'])
H: (['239', '691'], ['357', '691'])
H: (['573', '164'], ['559', '164'])
V: (['362', '904'], ['362', '944'])
H: (['467', '294'], ['236', '294'])
V: (['182', '53'], ['182', '264'])
V: (['243', '38'], ['243', '403'])
V: (['417', '140'], ['417', '818'])
V: (['245', '898'], ['245', '527'])
V: (['567', '946'], ['567', '983'])
H: (['572', '675'], ['363', '675'])
H: (['318', '618'], ['735', '618'])
H: (['616', '580'], ['981', '580'])
H: (['37', '881'], ['134', '881'])
H: (['323', '686'], ['770', '686'])
H: (['93', '385'], ['626', '385'])
H: (['715', '382'], ['862', '382'])
V: (['170', '342'], ['170', '84'])
H: (['747', '221'], ['380', '221'])
V: (['981', '311'], ['981', '577'])
V: (['372', '186'], ['372', '826'])
V: (['48', '603'], ['48', '110'])
V: (['707', '18'], ['707', '192'])
V: (['35', '589'], ['35', '247'])
H: (['544', '522'], ['437', '522'])
H: (['797', '712'], ['346', '712'])
V: (['642', '390'], ['642', '414'])
H: (['793', '29'], ['69', '29'])
V: (['978', '905'], ['978', '296'])
V: (['212', '515'], ['212', '920'])
V: (['168', '742'], ['168', '720'])
H: (['390', '276'], ['666', '276'])
H: (['507', '792'], ['987', '792'])
V: (['895', '242'], ['895', '402'])
V: (['303', '336'], ['303', '205'])
V: (['293', '390'], ['293', '736'])
V: (['433', '963'], ['433', '867'])
H: (['553', '689'], ['867', '689'])
V: (['226', '984'], ['226', '284'])
H: (['153', '308'], ['173', '308'])
H: (['855', '959'], ['345', '959'])
V: (['830', '895'], ['830', '981'])
V: (['557', '63'], ['557', '205'])
H: (['51', '857'], ['328', '857'])
V: (['224', '243'], ['224', '517'])
V: (['830', '773'], ['830', '520'])
H: (['876', '330'], ['327', '330'])
H: (['352', '936'], ['111', '936'])
H: (['900', '39'], ['986', '39'])
V: (['10', '626'], ['10', '795'])
H: (['369', '942'], ['11', '942'])
V: (['209', '541'], ['209', '557'])
H: (['69', '671'], ['848', '671'])
H: (['811', '451'], ['194', '451'])
V: (['704', '386'], ['704', '953'])
H: (['117', '346'], ['387', '346'])
V: (['789', '220'], ['789', '815'])
V: (['967', '512'], ['967', '213'])
H: (['91', '942'], ['312', '942'])
H: (['166', '37'], ['603', '37'])
H: (['854', '976'], ['951', '976'])
H: (['392', '23'], ['772', '23'])
V: (['299', '196'], ['299', '288'])
V: (['604', '947'], ['604', '735'])
V: (['907', '719'], ['907', '449'])
H: (['167', '421'], ['864', '421'])
H: (['491', '383'], ['538', '383'])
V: (['939', '504'], ['939', '433'])
V: (['78', '649'], ['78', '975'])
H: (['395', '195'], ['205', '195'])
V: (['872', '275'], ['872', '500'])
H: (['196', '621'], ['280', '621'])
V: (['634', '619'], ['634', '422'])
V: (['395', '30'], ['395', '232'])
V: (['747', '712'], ['747', '28'])
H: (['935', '798'], ['220', '798'])
H: (['459', '530'], ['704', '530'])
V: (['778', '135'], ['778', '66'])
H: (['657', '352'], ['906', '352'])
H: (['499', '160'], ['615', '160'])
V: (['830', '226'], ['830', '489'])
H: (['364', '971'], ['826', '971'])
H: (['879', '923'], ['543', '923'])
H: (['914', '984'], ['612', '984'])
H: (['594', '810'], ['508', '810'])
V: (['360', '478'], ['360', '902'])
V: (['176', '890'], ['176', '431'])
H: (['606', '112'], ['842', '112'])
H: (['563', '532'], ['914', '532'])
H: (['783', '139'], ['369', '139'])
H: (['564', '359'], ['846', '359'])
V: (['972', '419'], ['972', '35'])
H: (['686', '839'], ['755', '839'])
H: (['427', '856'], ['77', '856'])
H: (['102', '410'], ['925', '410'])
H: (['684', '708'], ['223', '708'])
V: (['555', '228'], ['555', '900'])
H: (['380', '600'], ['222', '600'])
H: (['900', '408'], ['188', '408'])
V: (['773', '677'], ['773', '16'])
V: (['560', '287'], ['560', '790'])
H: (['678', '726'], ['405', '726'])
V: (['243', '469'], ['243', '276'])
H: (['783', '486'], ['66', '486'])
V: (['469', '536'], ['469', '770'])
V: (['689', '148'], ['689', '340'])
V: (['396', '689'], ['396', '673'])
V: (['848', '759'], ['848', '770'])
V: (['965', '775'], ['965', '605'])
H: (['953', '643'], ['884', '643'])
V: (['371', '446'], ['371', '252'])
V: (['674', '259'], ['674', '247'])
V: (['877', '479'], ['877', '117'])
V: (['620', '843'], ['620', '734'])
V: (['597', '722'], ['597', '939'])
V: (['935', '663'], ['935', '469'])
V: (['108', '844'], ['108', '596'])
V: (['211', '447'], ['211', '482'])
V: (['774', '858'], ['774', '86'])
V: (['978', '500'], ['978', '305'])
V: (['728', '356'], ['728', '261'])
V: (['586', '627'], ['586', '949'])
V: (['251', '418'], ['251', '596'])
V: (['897', '379'], ['897', '388'])
H: (['149', '901'], ['253', '901'])
H: (['650', '229'], ['46', '229'])
V: (['446', '707'], ['446', '44'])
H: (['953', '898'], ['697', '898'])
H: (['608', '756'], ['927', '756'])
H: (['414', '583'], ['244', '583'])
V: (['219', '267'], ['219', '751'])
V: (['69', '746'], ['69', '886'])
H: (['604', '950'], ['244', '950'])
H: (['388', '516'], ['760', '516'])
H: (['656', '954'], ['513', '954'])
V: (['80', '680'], ['80', '44'])
V: (['360', '848'], ['360', '800'])
H: (['882', '187'], ['812', '187'])
H: (['416', '522'], ['356', '522'])
H: (['175', '371'], ['12', '371'])
H: (['726', '595'], ['956', '595'])
V: (['852', '355'], ['852', '357'])
H: (['959', '83'], ['338', '83'])
H: (['587', '151'], ['507', '151'])
V: (['257', '967'], ['257', '882'])
V: (['770', '552'], ['770', '573'])
V: (['456', '953'], ['456', '669'])
H: (['930', '434'], ['668', '434'])
H: (['494', '690'], ['626', '690'])
V: (['409', '730'], ['409', '62'])
H: (['881', '490'], ['28', '490'])
H: (['295', '770'], ['199', '770'])
H: (['866', '416'], ['808', '416'])
V: (['875', '716'], ['875', '189'])
H: (['583', '237'], ['704', '237'])
H: (['29', '153'], ['637', '153'])
V: (['767', '282'], ['767', '107'])
V: (['456', '242'], ['456', '165'])
H: (['455', '232'], ['749', '232'])
H: (['901', '73'], ['939', '73'])
H: (['928', '118'], ['854', '118'])
H: (['600', '92'], ['260', '92'])
V: (['247', '714'], ['247', '490'])
H: (['246', '29'], ['25', '29'])
H: (['258', '707'], ['773', '707'])
V: (['68', '788'], ['68', '875'])
H: (['858', '142'], ['758', '142'])
H: (['719', '642'], ['810', '642'])
V: (['928', '904'], ['928', '338'])
V: (['883', '13'], ['883', '31'])
V: (['681', '301'], ['681', '957'])
H: (['78', '41'], ['497', '41'])
V: (['840', '627'], ['840', '168'])
V: (['335', '54'], ['335', '822'])
V: (['120', '156'], ['120', '630'])
[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
